 	Area	Mean	IntDen	RawIntDen
1	10.141	424.696	4306.889	256941.000
2	61.987	455.842	28256.023	1685702.000
3	820.307	469.466	385106.058	22974714.000
4	9.923	415.189	4120.007	245792.000
5	16.863	442.692	7464.999	445348.000
6	19.310	472.965	9132.969	544856.000
7	10.074	435.349	4385.738	261645.000
8	24.422	465.119	11359.354	677678.000
9	16.041	416.201	6676.439	398304.000
10	9.621	452.221	4351.040	259575.000
11	19.059	454.420	8660.611	516676.000
12	12.974	443.840	5758.342	343532.000
13	162.073	466.137	75548.440	4507080.000
14	11.901	420.565	5005.201	298601.000
15	24.171	464.082	11217.345	669206.000
16	9.655	438.316	4231.945	252470.000
17	19.377	453.050	8778.784	523726.000
18	12.136	445.638	5408.180	322642.000
19	10.309	418.927	4318.605	257640.000
20	22.713	443.854	10081.138	601422.000
21	13.024	457.802	5962.505	355712.000
22	16.175	403.602	6528.463	389476.000
23	10.694	434.878	4650.698	277452.000
24	10.594	445.701	4721.618	281683.000
25	17.416	407.419	7095.561	423308.000
26	7.912	388.000	3069.757	183136.000
27	5.967	366.017	2184.144	130302.000
28	7.090	412.121	2922.099	174327.000
29	10.812	398.067	4303.737	256753.000
30	13.443	398.443	5356.368	319551.000
31	9.337	390.761	3648.353	217654.000
32	18.757	392.344	7359.146	439033.000
33	7.040	376.681	2651.876	158206.000
