 	Area	Mean	IntDen	RawIntDen
1	16.544	1264.586	20921.635	1248146.000
2	10.895	1410.122	15363.853	916579.000
3	13.477	1458.267	19652.756	1172447.000
4	8.649	1413.155	12222.773	729188.000
5	24.892	1424.919	35468.818	2116004.000
6	135.774	1474.978	200263.024	11947321.000
7	14.449	1447.206	20910.673	1247492.000
8	8.348	1343.181	11212.282	668904.000
9	14.231	1415.792	20148.245	1202007.000
10	11.113	1425.822	15845.614	945320.000
11	13.779	1647.333	22697.788	1354108.000
12	25.914	1490.323	38620.710	2304040.000
13	20.366	1471.498	29968.581	1787870.000
14	29.401	1437.743	42270.873	2521802.000
15	6.990	1356.535	9481.940	565675.000
16	7.191	1382.203	9939.380	592965.000
17	21.422	1375.816	29472.806	1758293.000
18	6.738	1361.751	9176.014	547424.000
19	5.146	1386.003	7132.354	425503.000
20	6.554	1330.708	8721.474	520307.000
21	9.152	1356.778	12417.432	740801.000
22	5.967	1342.112	8008.831	477792.000
23	7.208	1347.358	9711.398	579364.000
24	60.629	1449.708	87894.030	5243595.000
25	61.266	1471.537	90154.811	5378469.000
26	8.146	1421.840	11582.894	691014.000
27	10.376	1386.031	14381.154	857953.000
28	9.454	1396.415	13201.516	787578.000
29	10.979	1453.278	15955.859	951897.000
30	6.789	1393.575	9460.535	564398.000
31	6.437	1342.365	8640.362	515468.000
32	12.387	1322.666	16384.183	977450.000
33	9.052	1358.211	12293.945	733434.000
34	26.970	1418.497	38257.323	2282361.000
35	6.152	1433.779	8820.203	526197.000
36	25.428	1438.105	36568.433	2181605.000
37	8.532	1447.385	12349.009	736719.000
38	9.236	1406.519	12990.548	774992.000
39	27.155	1386.027	37637.173	2245364.000
40	5.029	1347.857	6777.901	404357.000
41	11.767	1426.058	16780.491	1001093.000
42	16.025	1382.606	22155.750	1321771.000
43	9.102	1406.088	12798.017	763506.000
44	22.662	1385.453	31397.773	1873133.000
45	15.220	1425.778	21700.406	1294606.000
46	5.565	1333.873	7423.060	442846.000
47	5.884	1371.732	8070.616	481478.000
48	7.442	1344.973	10009.831	597168.000
49	7.258	1381.259	10025.202	598085.000
50	7.191	1433.124	10305.550	614810.000
51	6.571	1360.296	8938.192	533236.000
52	5.381	1404.717	7558.297	450914.000
53	6.068	1352.417	8206.339	489575.000
54	6.856	1323.318	9072.307	541237.000
55	7.157	1330.201	9520.845	567996.000
