 	Area	Mean	IntDen	RawIntDen
1	12.605	1656.840	20884.725	1245944
2	22.294	1636.858	36491.596	2177021
3	9.169	1671.307	15324.059	914205
4	12.018	1712.946	20586.995	1228182
5	6.705	1635.992	10969.114	654397
6	10.007	1674.707	16758.817	999800
7	28.160	1721.621	48481.626	2892324
8	7.627	1620.622	12360.139	737383
9	15.958	1685.511	26896.678	1604606
10	17.902	1636.845	29302.787	1748150
11	8.750	1660.803	14531.779	866939
12	6.353	1585.681	10073.611	600973
13	93.516	1648.864	154195.401	9199012
14	20.819	1637.017	34080.425	2033175
15	46.766	1648.391	77089.387	4599010
16	10.225	1631.736	16684.377	995359
17	10.443	1641.677	17143.761	1022765
18	14.298	1671.873	23904.664	1426108
19	55.701	1695.130	94419.895	5632916
20	15.471	1704.775	26375.392	1573507
21	16.092	1672.156	26907.808	1605270
22	6.118	1623.827	9934.888	592697
23	5.213	1620.035	8445.301	503831
24	13.410	1864.576	25003.475	1491661
25	6.470	1609.821	10415.861	621391
26	5.716	1555.692	8892.180	530491
27	6.152	1680.597	10338.554	616779
28	5.599	1548.683	8670.400	517260
29	8.163	1640.185	13389.118	798770
30	14.985	1633.862	24484.049	1460673
31	7.074	1666.882	11790.913	703424
32	10.711	1834.748	19652.035	1172404
