 	Area	Mean	Min	Max	IntDen	RawIntDen
1	10.862	623.384	444	900	6771.129	403953.000
2	14.248	660.721	444	1030	9413.852	561613.000
3	8.700	620.520	444	843	5398.257	322050.000
4	32.871	664.811	444	951	21852.757	1303695.000
5	13.242	582.892	444	841	7718.728	460485.000
6	24.054	612.916	433	883	14742.915	879535.000
7	61.467	618.982	437	1036	38046.907	2269808.000
8	22.143	644.499	444	932	14271.026	851383.000
9	15.488	614.854	444	935	9523.008	568125.000
10	9.571	554.848	436	749	5310.557	316818.000
11	11.130	610.657	444	856	6796.658	405476.000
12	93.818	622.210	377	1024	58374.458	3482512.000
13	10.594	578.013	444	808	6123.288	365304.000
14	183.998	641.357	403	1081	118008.592	7040174.000
15	10.895	647.554	444	942	7055.365	420910.000
16	18.891	599.104	444	880	11317.649	675190.000
17	21.355	638.441	438	1094	13633.913	813374.000
18	10.711	627.344	444	879	6719.501	400873.000
19	7.107	515.705	444	642	3665.199	218659.000
20	11.164	678.344	444	985	7572.763	451777.000
21	8.901	597.371	444	847	5317.027	317204.000
22	17.617	781.367	426	1413	13765.379	821217.000
23	21.757	603.994	444	852	13141.273	783984.000
24	11.080	581.458	433	858	6442.439	384344.000
25	37.530	626.172	437	955	23500.529	1401998.000
26	14.415	634.920	445	921	9152.664	546031.000
27	45.325	599.999	414	895	27194.911	1622398.000
28	49.080	672.099	417	1216	32986.391	1967907.000
29	89.158	615.981	431	934	54919.623	3276403.000
30	14.063	601.063	444	882	8453.028	504292.000
31	19.662	593.546	430	960	11670.309	696229.000
32	27.875	640.262	437	956	17847.621	1064756.000
33	12.136	599.894	444	763	7280.196	434323.000
34	9.722	589.597	419	905	5732.092	341966.000
35	23.685	583.247	435	786	13814.173	824128.000
36	10.242	563.630	444	733	5772.523	344378.000
37	26.954	560.711	435	745	15113.175	901624.000
38	9.253	558.121	438	757	5164.140	308083.000
39	12.270	539.725	398	726	6622.381	395079.000
40	16.444	567.700	441	772	9335.087	556914.000
41	10.694	541.647	437	685	5792.520	345571.000
42	12.119	610.506	444	807	7398.755	441396.000
43	9.873	527.154	442	644	5204.553	310494.000
44	7.778	534.377	444	669	4156.197	247951.000
45	11.147	569.039	437	743	6342.989	378411.000
46	10.057	583.972	445	744	5873.179	350383.000
47	6.722	550.556	446	683	3700.635	220773.000
