 	Area	Mean	Min	Max	IntDen	RawIntDen
1	10.141	221.927	144	312	2250.589	134266.000
2	61.987	242.353	149	418	15022.609	896221.000
3	820.307	248.620	105	530	203945.119	12166988.000
4	9.923	211.485	143	295	2098.607	125199.000
5	16.863	235.015	141	366	3962.996	236425.000
6	19.310	240.317	145	376	4640.523	276845.000
7	10.074	226.938	139	323	2286.192	136390.000
8	24.422	235.340	142	323	5747.580	342890.000
9	16.041	219.940	158	307	3528.152	210483.000
10	9.621	222.436	134	326	2140.160	127678.000
11	19.059	229.277	141	405	4369.697	260688.000
12	12.974	221.964	141	320	2879.741	171800.000
13	162.073	236.377	136	398	38310.459	2285531.000
14	11.901	222.390	145	318	2646.696	157897.000
15	24.171	250.747	158	418	6060.815	361577.000
16	9.655	226.786	151	324	2189.625	130629.000
17	19.377	236.232	140	379	4577.480	273084.000
18	12.136	242.952	157	369	2948.415	175897.000
19	10.309	210.203	151	294	2166.930	129275.000
20	22.713	226.600	151	338	5146.707	307043.000
21	13.024	249.216	154	322	3245.843	193641.000
22	16.175	213.281	157	304	3449.923	205816.000
23	10.694	234.912	162	320	2512.213	149874.000
24	10.594	225.829	139	334	2392.364	142724.000
25	17.416	212.015	150	342	3692.438	220284.000
26	7.912	213.481	153	283	1689.007	100763.000
27	5.967	190.966	162	240	1139.559	67984.000
28	7.090	223.061	150	303	1581.595	94355.000
29	10.812	207.350	147	270	2241.789	133741.000
30	13.443	208.286	144	275	2800.037	167045.000
31	9.337	199.697	156	265	1864.473	111231.000
32	18.757	207.819	141	287	3898.043	232550.000
33	7.040	208.233	159	252	1465.986	87458.000
