 	Area	Mean	IntDen	RawIntDen
1	13.343	937.176	12504.445	745992
2	7.929	881.651	6990.177	417021
3	9.621	947.322	9114.648	543763
4	10.158	889.919	9039.687	539291
5	6.839	886.034	6059.558	361502
6	11.080	856.617	9491.143	566224
7	39.358	874.111	34402.878	2052412
8	20.701	884.931	18319.208	1092890
9	12.991	866.267	11253.400	671357
10	5.515	902.264	4975.766	296845
11	5.180	885.495	4586.431	273618
12	5.565	824.611	4588.996	273771
13	6.202	888.943	5513.229	328909
14	13.393	853.615	11432.437	682038
15	53.069	915.639	48592.089	2898914
16	32.837	895.385	29401.835	1754059
17	10.242	890.630	9121.554	544175
18	17.533	902.140	15817.420	943638
19	6.520	869.093	5666.904	338077
20	23.014	908.529	20909.298	1247410
21	6.940	898.242	6233.382	371872
22	6.286	856.595	5384.394	321223
23	5.582	909.739	5077.982	302943
24	5.062	883.318	4471.510	266762
25	7.090	892.489	6328.105	377523
26	6.671	906.681	6048.780	360859
27	9.219	891.285	8216.933	490207
28	7.224	882.552	6375.994	380380
