 	Area1	Mean1	Min1	Max1	IntDen1	RawIntDen1
1	4348.822	2938.142	1359	9631	12777458	770216320
2	4348.822	2677.306	1342	8303	11643128	701839680
3	4348.822	2766.337	1339	8436	12030308	725178624
4	4348.822	2464.573	1307	7610	10717988	646072896
5	4348.822	2616.822	1333	8022	11380094	685984192
6	4348.822	2306.596	1345	7809	10030976	604660288
7	4348.822	2435.333	1357	7744	10590830	638407936
8	4348.822	2368.302	1333	9209	10299325	620836160
9	4348.822	2440.180	1325	8947	10611908	639678464
10	4348.822	2918.748	1347	8410	12693116	765132224
