 	Area	Mean
1	5.24	676.82
2	16.92	780.27
3	15.17	659.95
4	25.05	740.75
5	111.93	776.82
6	16.92	733.37
7	26.06	728.01
8	16.78	718.85
9	7.68	654.25
10	21.37	708.65
11	17.51	723.74
12	10.39	640.95
13	21.79	705.79
14	284.26	778.27
15	22.29	727.35
16	21.28	642.17
17	16.41	672.55
18	10.48	681.16
19	121.72	753.61
20	22.94	750.36
21	15.63	681.71
22	66.28	769.51
23	17.56	657.78
24	55.21	791.20
25	7.40	668.74
26	29.42	773.29
27	56.59	779.89
28	8.73	667.65
29	14.48	698.25
30	42.29	736.30
31	11.72	677.85
32	14.07	687.00
33	19.81	713.57
34	5.93	630.42
35	33.60	717.38
36	18.89	720.68
37	18.02	746.70
38	54.93	785.88
39	18.52	724.38
40	7.91	681.21
41	38.89	802.93
42	22.39	759.17
43	20.78	748.89
44	31.03	737.68
45	213.43	817.42
46	9.65	693.50
47	69.04	811.38
48	16.59	763.17
49	5.10	643.21
50	19.67	801.80
51	12.73	742.97
52	6.57	663.20
53	25.56	713.45
54	26.02	718.96
55	7.40	685.05
56	25.79	746.27
57	15.81	694.67
58	13.97	693.02
59	87.25	787.18
60	14.11	756.45
61	22.02	652.42
62	112.11	767.88
63	19.31	745.05
64	30.34	777.64
65	32.91	857.04
66	757.45	816.91
67	25.70	808.55
68	10.39	671.98
69	18.11	714.31
70	15.90	724.08
71	47.85	747.39
72	10.85	692.83
73	31.67	778.64
74	24.68	753.58
75	33.51	699.59
76	79.34	778.78
77	60.86	786.39
78	34.38	760.89
79	15.45	713.32
80	39.26	749.84
81	34.61	755.59
82	19.21	718.69
83	29.51	726.24
84	14.02	672.05
85	24.78	749.86
86	54.29	808.06
87	297.45	818.13
88	80.81	752.60
89	26.16	732.65
90	249.88	790.55
91	41.55	857.29
92	233.24	780.87
93	57.09	769.73
94	20.69	751.38
95	20.46	722.14
96	27.58	733.63
97	24.32	771.42
98	15.31	749.68
99	9.06	686.03
