 	Area	Mean
1	172.194	8129.613
2	110.689	9028.934
3	28.592	9348.207
4	109.127	8243.986
5	271.713	8658.711
6	105.265	9078.157
7	41.968	8692.712
8	10.343	7231.480
9	23.765	9379.998
10	40.313	7542.828
11	8.734	7681.800
12	21.789	8952.175
13	28.776	7639.022
14	35.441	8297.162
15	26.431	8435.927
16	47.530	8804.353
17	30.155	8130.274
18	32.407	9270.139
19	11.538	8349.777
20	405.524	8795.002
21	14.066	8228.232
22	5.240	7353.535
23	21.099	8381.856
24	9.285	7503.970
25	68.124	8683.569
26	25.558	9238.147
27	70.606	8532.354
28	31.350	10313.012
29	61.642	9093.030
30	20.915	8947.596
31	19.858	8999.007
32	382.586	8921.552
33	184.743	9575.904
34	28.454	9138.611
35	27.121	8412.371
36	22.386	9285.191
37	29.649	9109.586
38	26.247	7784.725
39	83.753	9204.796
40	32.729	8872.046
41	27.718	8743.080
42	42.842	8522.677
43	126.226	8536.794
44	10.481	8427.768
45	21.880	8676.252
46	65.320	9701.588
47	35.487	8604.056
48	16.226	8314.003
49	15.813	8202.308
50	16.318	8505.611
51	23.719	8670.779
52	91.153	9216.641
53	20.639	8168.971
54	19.122	8309.067
55	17.651	8209.971
56	15.721	7988.865
57	5.286	9953.330
58	10.113	8095.136
59	13.331	8470.162
60	17.054	8777.836
61	22.340	8776.506
62	12.871	7804.436
63	20.455	8964.261
64	16.043	8044.244
65	34.476	9018.517
66	18.709	7897.034
67	15.445	8503.685
68	7.079	7741.760
69	25.374	8423.864
70	143.648	8845.143
71	22.340	8517.638
72	17.835	8060.528
73	20.501	8844.070
74	229.193	8679.606
75	18.065	8156.987
76	7.125	7820.587
77	20.915	8063.024
78	38.429	8651.761
79	52.495	9005.363
80	23.305	8337.014
81	34.567	9451.094
82	15.997	8751.319
83	13.422	8387.973
84	21.926	8585.931
85	27.534	9114.730
86	35.533	8392.220
87	36.406	8841.086
88	34.521	8882.256
89	28.362	8228.279
90	38.061	8553.366
91	53.138	8234.247
92	53.276	8721.268
93	27.580	8562.887
94	27.902	9703.479
95	14.480	8150.083
96	13.514	7494.412
97	11.952	8184.627
98	85.040	8245.786
99	16.594	7789.958
100	149.670	8604.221
101	21.283	9269.587
102	7.906	7905.453
103	35.625	8245.890
104	22.892	7892.847
105	32.453	7901.405
106	25.972	8172.202
107	5.424	7399.822
108	67.158	8630.621
109	26.385	8150.563
110	12.549	7317.901
111	5.654	8257.341
112	20.226	8058.461
113	10.021	8764.867
114	5.608	8156.557
