 	Area	Mean
1	354.04	206.08
2	172.33	188.58
3	17.10	204.18
4	20.32	190.30
5	18.20	190.56
6	6.76	188.94
7	16.41	176.78
8	23.90	201.07
9	21.19	178.33
10	30.98	185.51
11	8.64	170.49
12	12.87	174.84
13	35.17	182.03
14	122.92	197.59
15	18.34	189.53
16	31.53	195.46
17	53.97	180.90
18	15.45	178.05
19	22.71	188.29
20	6.67	166.79
21	19.54	183.59
22	25.28	193.01
23	20.41	153.39
24	794.96	204.20
25	57.74	195.18
26	15.17	153.91
27	23.81	201.46
28	29.74	202.95
29	21.05	192.18
30	11.95	166.49
31	13.65	181.09
32	271.02	200.99
33	15.08	168.83
34	8.04	180.39
35	22.34	168.96
36	28.50	174.74
37	30.94	194.53
38	13.47	162.53
39	22.48	185.19
40	18.62	176.38
41	37.42	208.51
42	14.20	168.88
43	109.86	171.14
44	33.88	168.14
45	12.46	144.59
46	31.07	183.12
47	19.17	149.22
48	26.06	161.40
49	5.61	136.98
50	7.49	160.58
51	723.39	183.42
52	58.75	180.17
53	321.17	183.24
54	38.47	172.20
55	8.37	145.02
56	25.37	170.45
57	37.46	160.13
58	22.20	166.81
59	14.62	160.98
60	108.30	160.11
61	21.74	151.61
62	25.51	146.19
63	62.61	154.37
64	13.01	166.13
65	22.57	161.98
66	26.66	166.41
67	17.88	142.22
68	15.77	140.74
69	95.80	180.81
70	7.22	143.24
71	75.39	172.43
72	93.08	170.71
73	23.31	183.97
74	69.92	154.54
75	40.13	156.34
76	15.95	151.20
77	6.30	121.39
78	20.04	150.89
79	23.08	136.05
80	15.40	138.91
81	18.85	150.94
82	34.80	151.57
83	11.12	134.07
84	6.62	131.15
85	32.32	155.43
86	31.67	137.06
87	6.25	136.24
88	12.55	141.97
89	51.39	140.63
90	24.87	167.86
91	22.39	171.41
92	28.18	147.92
93	35.07	150.46
94	24.22	166.45
95	29.79	165.66
96	46.75	151.47
97	73.27	137.13
98	6.21	116.39
