 	Area	Mean
1	9.70	524.87
2	85.96	631.12
3	11.95	526.47
4	7.68	523.04
5	8.14	527.38
6	8.92	558.47
7	123.05	528.57
8	10.89	519.91
9	11.12	572.45
10	9.75	471.69
11	1063.18	535.79
12	27.58	558.66
13	18.43	603.05
14	35.39	544.20
15	29.65	534.86
16	31.26	529.97
17	12.14	531.00
18	10.30	549.70
19	36.04	516.04
20	84.72	581.91
21	44.82	504.35
22	23.31	568.34
23	19.31	527.67
24	18.20	527.06
25	284.63	508.81
26	28.73	560.40
27	86.37	511.15
28	11.12	479.24
29	14.34	528.25
30	27.53	639.12
31	15.67	461.85
32	92.39	551.04
33	27.76	513.11
34	25.47	647.39
35	11.54	434.30
36	13.74	436.10
37	21.83	460.01
38	5.15	436.07
39	23.21	568.59
40	31.49	489.67
41	29.37	510.23
42	34.15	502.15
43	8.09	429.68
44	8.78	537.11
45	1291.59	482.15
46	10.85	488.37
47	18.48	460.21
48	29.92	506.31
49	52.59	459.46
50	24.55	463.08
51	11.03	473.28
52	109.17	515.69
53	28.50	582.77
54	30.20	479.91
55	21.42	461.13
56	5.38	463.08
57	13.84	507.96
58	22.57	444.75
59	120.89	465.48
60	8.41	477.82
61	29.42	471.91
62	263.03	471.88
63	27.53	509.96
64	28.68	478.03
65	19.77	525.61
66	12.92	469.78
67	26.66	437.43
68	268.31	459.06
69	22.11	396.45
70	17.65	423.87
71	8.96	466.38
72	13.15	426.52
73	47.48	460.07
74	20.27	464.59
75	134.50	443.20
76	56.54	474.50
77	23.72	418.91
78	5.98	382.58
79	13.24	458.19
80	21.01	418.70
81	78.88	494.05
82	15.95	475.65
83	34.98	486.27
84	32.77	429.58
85	32.22	466.40
86	54.47	461.86
87	28.91	447.43
88	17.65	401.04
89	6.76	417.12
