 	Area	Mean
1	26.477	1890.042
2	411.730	1954.708
3	28.086	1638.300
4	22.294	1647.732
5	21.697	1776.000
6	23.305	2139.205
7	11.997	1912.368
8	11.814	1890.669
9	14.112	1616.355
10	7.355	1639.225
11	14.618	1798.280
12	7.355	1631.069
13	6.849	1494.349
14	29.557	1736.734
15	17.146	1719.767
16	42.382	1551.606
17	147.877	1702.814
18	28.500	1685.910
19	26.707	2508.272
20	62.056	1833.302
21	62.791	1717.061
22	15.997	1523.629
23	7.677	1630.641
24	14.801	1769.140
25	38.705	1806.330
26	25.328	1810.065
27	162.357	1774.971
28	10.664	1809.440
29	11.308	1638.045
30	92.027	1840.724
31	31.488	1686.636
32	15.261	1736.729
33	29.189	1761.602
34	72.077	1622.145
35	26.201	1610.426
36	23.811	1847.965
37	5.838	1573.504
38	54.241	1558.533
39	11.952	1581.700
40	55.023	1963.568
41	5.424	1700.458
42	8.228	1741.369
43	34.246	1575.693
44	26.063	1757.707
45	14.296	1742.312
46	21.237	1717.794
47	14.572	1535.397
48	13.514	1578.990
49	5.194	1563.478
50	19.766	1680.314
51	17.330	2032.692
52	196.051	1677.159
53	12.319	1539.101
54	111.103	1712.321
55	19.812	1940.142
56	23.259	1872.138
57	6.941	1811.258
58	21.880	1954.300
59	19.444	1818.149
60	20.961	2018.667
61	28.822	1756.660
62	18.433	1549.671
63	6.435	1663.914
64	24.179	1617.437
65	54.241	1754.941
66	22.064	1692.529
67	37.693	1727.900
68	11.722	1666.341
69	23.305	1841.379
70	23.719	1848.570
71	79.432	1762.131
72	9.377	1565.681
73	140.430	1743.032
74	11.124	1674.665
75	57.873	1677.795
76	22.570	1707.198
77	28.132	1632.552
78	39.394	1717.462
79	251.487	1787.321
80	11.997	1782.613
81	9.193	1696.135
82	19.352	1858.337
83	6.757	1592.918
84	10.343	1645.369
85	36.544	1823.799
86	12.043	1706.550
87	42.750	1676.412
88	236.962	1656.743
89	51.254	1581.882
90	26.937	2205.889
91	22.616	1778.187
92	9.056	1576.553
93	90.786	1679.179
94	6.941	1605.132
95	122.917	1777.417
96	18.939	1742.684
97	35.763	1699.293
98	12.135	1645.572
99	46.703	1816.972
100	37.969	1665.240
101	21.191	1693.514
102	24.133	1861.737
103	20.410	2079.417
104	18.663	1711.468
105	13.836	1488.738
106	19.030	1671.036
107	18.755	1645.478
108	61.366	1647.321
109	13.377	1689.302
110	15.307	1705.246
111	7.355	1508.031
112	23.581	1673.294
113	19.812	1948.610
114	25.972	1703.205
115	15.123	1606.641
116	5.746	1428.728
117	13.514	1548.160
118	33.326	1911.788
119	21.191	1560.282
120	74.099	1658.801
121	17.560	1617.228
122	20.869	1872.170
123	18.203	1838.763
124	14.985	1533.242
125	20.547	1630.040
126	23.305	1914.077
127	14.480	1730.968
128	13.055	1662.155
129	13.101	1692.025
130	11.492	1784.960
131	19.904	1696.718
132	9.148	1714.322
133	16.272	1675.266
134	6.573	1540.643
135	6.206	1836.385
136	6.252	1746.978
