 	Area	Mean
1	9.70	1218.22
2	85.96	1379.44
3	11.95	1170.20
4	7.68	1156.78
5	8.14	1104.73
6	8.92	1154.86
7	123.05	1287.02
8	10.89	1149.73
9	11.12	1225.14
10	9.75	1110.19
11	1063.18	1336.62
12	27.58	1299.51
13	18.43	1184.99
14	35.39	1272.08
15	29.65	1316.24
16	31.26	1241.73
17	12.14	1174.77
18	10.30	1154.00
19	36.04	1255.98
20	84.72	1345.85
21	44.82	1229.59
22	23.31	1257.07
23	19.31	1198.81
24	18.20	1231.33
25	284.63	1273.73
26	28.73	1384.26
27	86.37	1290.58
28	11.12	1098.60
29	14.34	1219.56
30	27.53	1410.76
31	15.67	1145.02
32	92.39	1331.78
33	27.76	1213.01
34	25.47	1596.16
35	11.54	1102.33
36	13.74	1136.40
37	21.83	1207.44
38	5.15	1088.39
39	23.21	1394.85
40	31.49	1332.98
41	29.37	1369.78
42	34.15	1316.75
43	8.09	1065.96
44	8.78	1253.78
45	1291.59	1354.18
46	10.85	1177.56
47	18.48	1240.15
48	29.92	1399.34
49	52.59	1217.79
50	24.55	1170.23
51	11.03	1158.95
52	109.17	1375.75
53	28.50	1529.86
54	30.20	1260.57
55	21.42	1272.98
56	5.38	1162.47
57	13.84	1243.64
58	22.57	1212.77
59	120.89	1350.71
60	8.41	1170.09
61	29.42	1304.99
62	263.03	1380.43
63	27.53	1372.66
64	28.68	1402.66
65	19.77	1353.15
66	12.92	1298.22
67	26.66	1203.05
68	268.31	1338.84
69	22.11	1146.15
70	17.65	1150.56
71	8.96	1216.34
72	13.15	1157.75
73	47.48	1318.27
74	20.27	1269.99
75	134.50	1335.75
76	56.54	1294.77
77	23.72	1225.85
78	5.98	1075.25
79	13.24	1270.48
80	21.01	1185.77
81	78.88	1360.36
82	15.95	1240.85
83	34.98	1361.22
84	32.77	1292.77
85	32.22	1315.45
86	54.47	1362.00
87	28.91	1267.92
88	17.65	1146.32
89	6.76	1338.22
