 	Area	Mean
1	216.23	3795.81
2	24.87	3673.28
3	18.43	4389.54
4	21.70	3200.91
5	19.54	4084.53
6	28.68	3770.86
7	149.95	3516.97
8	31.26	3899.30
9	7.03	3250.37
10	14.02	3464.08
11	80.86	4138.41
12	22.75	3534.55
13	35.90	3892.56
14	48.63	3662.33
15	36.04	4045.93
16	631.41	3531.49
17	68.81	3504.40
18	26.43	4252.30
19	43.81	4264.24
20	202.44	3654.45
21	10.66	3278.60
22	6.90	3254.41
23	28.55	3730.86
24	136.66	3897.92
25	78.74	3598.60
26	35.12	3639.32
27	20.87	3902.24
28	668.32	3519.77
29	23.03	3734.47
30	21.33	3621.38
31	35.30	3987.73
32	671.22	3605.08
33	29.65	4081.84
34	59.90	3427.34
35	28.87	3215.75
36	50.01	4376.86
37	746.19	3498.23
38	5.33	2817.44
39	98.51	3677.23
40	6.57	2755.71
41	5.24	2362.47
42	23.77	3337.46
43	21.42	3023.22
44	26.75	3269.91
45	9.01	2181.39
46	31.81	3167.82
47	16.41	2628.16
48	10.53	2908.66
49	128.39	2709.91
50	25.51	2618.34
51	43.44	3191.33
52	26.20	3351.46
53	32.59	2836.24
54	22.34	3545.52
55	28.55	2410.49
56	72.67	3215.25
57	15.49	2843.41
58	25.93	3016.04
59	25.51	2271.13
60	73.64	3438.02
61	26.89	2793.89
62	25.60	2713.52
63	22.85	3684.47
64	20.82	3253.04
65	28.32	3822.65
66	15.49	2939.82
67	26.89	3239.11
68	9.84	2649.29
69	14.07	2407.37
