 	Area	Mean
1	80.86	588.90
2	51.35	577.55
3	1834.47	537.19
4	7.12	533.81
5	24.78	566.88
6	38.29	562.53
7	111.84	586.16
8	26.57	607.04
9	61.96	541.68
10	8.46	542.08
11	48.91	558.00
12	6.11	501.74
13	11.17	559.69
14	16.46	571.01
15	86.37	572.96
16	140.43	551.55
17	9.93	495.00
18	57.00	515.58
19	30.71	521.89
20	23.90	592.34
21	12.09	531.88
22	38.80	484.66
23	27.90	530.43
24	19.40	517.52
25	123.56	521.33
26	45.97	556.15
27	50.47	545.29
28	23.44	549.45
29	14.07	476.68
30	22.29	541.16
31	12.37	524.65
32	40.59	491.02
33	23.81	591.39
34	35.72	567.51
35	7.49	498.00
36	9.19	512.81
37	28.18	514.39
38	290.24	496.18
39	16.32	429.26
40	16.41	500.62
41	282.79	507.22
42	38.06	477.51
43	15.31	496.56
44	21.70	501.19
45	22.52	426.02
46	13.24	497.99
47	7.72	438.71
48	9.65	451.55
49	7.35	470.26
50	12.18	486.59
51	182.63	503.12
52	20.69	488.93
53	77.36	496.78
54	270.93	478.78
55	27.21	448.93
56	25.33	417.02
57	79.71	478.19
58	45.92	459.85
59	126.64	501.64
60	28.41	493.28
61	23.31	447.46
62	5.10	410.32
63	11.86	444.86
64	11.49	447.62
65	10.62	436.95
66	7.49	409.88
67	30.98	412.29
68	24.36	448.23
69	13.33	453.78
70	24.55	477.57
71	20.87	481.60
72	14.30	462.87
73	51.85	503.79
74	17.84	443.57
75	7.54	440.46
76	31.76	469.85
77	25.83	474.13
78	16.50	459.59
79	13.05	429.53
