 	Area	Mean
1	6.022	11586.855
2	508.767	13934.592
3	14.756	12497.352
4	11.860	11983.461
5	29.005	13178.712
6	10.297	11582.696
7	202.854	13864.764
8	20.410	13233.092
9	702.749	13498.702
10	19.720	13255.380
11	32.821	12554.266
12	38.796	11749.115
13	43.807	12874.770
14	11.630	11643.411
15	88.073	12991.846
16	13.422	11882.099
17	94.417	13921.822
18	25.236	12022.375
19	17.284	11938.165
20	21.007	12290.582
21	21.834	12984.611
22	25.006	13321.244
23	37.463	12583.764
24	35.073	13312.970
25	31.212	14255.318
26	6.527	10730.944
27	26.293	13198.647
28	33.418	14043.347
29	7.355	11419.012
30	29.419	13322.955
31	78.604	13387.002
32	59.620	13469.627
33	61.366	14026.363
34	46.795	13231.972
35	35.441	12927.633
36	78.742	13050.081
37	31.166	13148.848
38	18.019	14005.046
39	28.316	15023.802
40	13.101	12164.288
41	11.262	11463.980
42	21.191	11745.813
43	18.985	12400.753
44	42.704	12517.315
45	14.847	12788.204
46	12.595	12542.606
47	18.571	12812.562
48	21.559	12487.045
49	23.305	12959.791
50	18.663	12443.337
51	65.825	13844.978
52	17.468	12741.626
53	19.950	12472.694
54	23.719	13010.434
55	11.354	11862.761
56	11.308	11820.760
57	19.398	12901.858
58	327.747	13499.973
59	19.398	12212.346
60	23.535	13737.609
61	15.537	12042.180
62	41.141	12599.181
63	5.838	12045.724
64	10.572	11377.548
65	24.822	12583.889
66	16.135	13119.484
67	16.916	12759.027
68	10.251	12148.686
69	60.171	14573.755
70	16.318	12146.014
71	12.319	11795.004
72	54.977	13808.824
73	19.122	12903.173
74	18.893	12804.457
75	25.052	13137.149
76	12.779	12615.856
77	62.745	13010.642
78	37.693	14394.956
79	28.316	13905.157
80	5.654	11121.976
81	31.763	13420.932
82	29.051	14636.160
83	10.848	12278.254
84	16.962	12845.054
85	22.156	12904.504
86	12.549	12260.703
87	38.659	11916.736
88	14.572	12284.000
89	47.025	12341.857
90	27.075	13806.326
91	46.703	13153.847
92	9.653	12172.990
93	31.947	14335.757
94	12.503	12520.272
95	54.379	12373.003
96	23.443	14826.980
97	26.247	11783.166
98	34.154	13820.296
99	19.766	12897.586
100	20.180	13454.219
101	31.166	13198.881
102	21.145	13952.439
103	7.998	11796.207
104	32.545	16230.011
105	71.157	13252.986
106	226.343	13832.609
107	30.384	12388.956
108	13.744	12776.237
109	52.862	13468.123
110	22.662	12966.886
111	13.055	12095.004
112	37.693	13615.345
113	15.491	12014.030
114	16.135	12441.564
115	10.894	12560.498
116	21.007	11772.589
117	19.030	12462.063
118	7.677	11627.449
119	23.030	11851.922
120	37.785	13414.808
121	18.479	11919.276
122	23.030	14123.938
123	20.410	13118.739
124	16.089	12086.634
125	34.246	11523.217
126	26.385	13300.972
127	6.711	11659.664
128	9.377	11376.569
129	12.043	13728.775
130	8.918	12530.675
131	11.124	13124.983
