 	Area	Mean
1	418.763	2572.562
2	12.595	2190.398
3	17.192	2239.564
4	30.476	2357.922
5	79.018	2292.916
6	296.719	2476.045
7	6.068	2021.606
8	19.490	2511.151
9	11.860	2159.845
10	16.318	2299.583
11	55.621	2193.166
12	24.960	2195.873
13	18.617	2279.993
14	20.685	2127.762
15	25.880	2237.602
16	18.387	2292.022
17	99.887	2377.474
18	33.418	2426.237
19	16.640	2412.343
20	34.659	2297.883
21	48.128	2426.273
22	264.450	2480.512
23	42.888	2305.179
24	14.434	2283.691
25	9.423	2059.951
26	29.741	2503.573
27	23.030	2377.806
28	15.307	2324.505
29	78.650	2370.471
30	26.661	2124.902
31	13.882	2210.066
32	84.350	2232.872
33	41.922	2307.698
34	107.977	2333.243
35	949.226	2411.300
36	8.780	1972.529
37	35.165	2330.312
38	19.030	2259.606
39	13.468	2116.833
40	18.203	2449.404
41	13.606	2214.044
42	236.042	2315.164
43	66.561	2487.728
44	33.648	2222.332
45	26.018	2213.350
46	35.763	2202.943
47	30.155	2144.290
48	57.413	2357.482
49	16.916	2579.571
50	18.893	2395.769
51	28.132	2016.776
52	6.803	1943.642
53	13.698	2241.094
54	20.501	2245.484
55	26.569	2500.642
56	51.575	2277.444
57	28.362	2331.066
58	19.766	2308.174
59	36.958	2602.343
60	27.351	2113.637
61	79.478	2323.575
62	123.422	2413.293
63	378.036	2347.089
64	25.374	2122.279
65	25.512	2421.686
66	37.555	2233.741
67	60.677	2171.480
68	13.377	2269.849
69	109.954	2412.453
70	21.513	2322.239
71	155.829	2234.680
72	113.126	2258.581
73	11.722	2310.086
74	78.696	2268.517
75	33.740	2076.554
76	12.365	2096.572
77	7.263	1920.247
78	16.824	2197.372
79	27.075	2373.666
80	17.835	2216.732
81	16.594	2385.535
82	22.800	2544.452
83	15.445	2060.089
84	14.112	2307.052
85	18.019	2464.673
86	25.650	2196.011
87	18.157	2203.742
88	15.445	2266.042
89	60.953	2256.811
90	13.928	2251.746
91	35.303	2330.004
92	10.756	2125.009
93	59.252	2293.711
94	20.318	2377.941
95	21.283	2383.566
96	14.112	2167.577
97	13.422	2241.959
98	26.661	2482.397
99	18.249	2106.675
100	18.387	2258.835
101	14.112	2300.166
102	22.616	2356.339
103	11.216	2163.139
104	13.974	2414.562
105	14.618	2325.513
106	17.743	2425.016
107	13.331	2136.976
108	5.976	2151.038
