 	Area	Mean
1	79.983	4113.753
2	6.941	3586.781
3	12.779	3648.568
4	109.770	4101.501
5	11.170	3967.255
6	43.485	4089.372
7	13.239	3769.493
8	5.608	3588.672
9	104.070	4054.441
10	11.630	3670.704
11	53.506	4261.569
12	5.654	3615.512
13	27.672	3924.909
14	33.510	3992.989
15	39.394	4273.492
16	14.388	3751.268
17	16.916	3999.280
18	38.475	4130.440
19	12.779	3956.763
20	27.121	3354.234
21	28.040	3868.661
22	205.428	4341.027
23	39.946	4103.590
24	31.626	4379.231
25	97.405	3965.335
26	79.570	4757.396
27	19.720	4014.200
28	13.652	3919.283
29	303.247	4068.474
30	27.488	3764.119
31	11.354	3848.320
32	34.016	4117.555
33	30.292	4286.414
34	46.795	3893.418
35	9.239	3747.642
36	29.649	3737.223
37	16.870	4036.798
38	21.605	3972.194
39	14.388	3912.482
40	68.353	3954.026
41	27.580	3871.012
42	32.729	3878.542
43	266.289	4321.439
44	28.408	4154.539
45	26.661	3971.286
46	42.474	3981.927
47	31.901	4041.514
48	31.074	3879.678
49	27.626	4183.895
50	23.351	4064.654
51	122.181	4230.296
52	19.122	3952.796
53	50.288	3792.022
54	157.208	4242.827
55	84.626	4403.519
56	95.336	4225.499
57	20.088	4075.984
58	17.422	3917.525
59	29.373	4221.543
60	28.316	4134.716
61	68.399	4058.758
62	24.087	3930.338
63	16.410	3685.118
64	26.063	4057.303
65	18.341	4533.684
66	26.293	4030.680
67	17.468	4086.037
68	34.108	3765.608
69	7.355	3298.638
70	30.936	3717.074
71	19.260	3977.303
72	1125.051	4177.572
73	40.589	4849.648
74	18.387	3826.015
75	11.446	3566.763
76	35.073	4572.018
77	60.815	4032.692
78	22.938	4036.655
79	8.826	3769.104
80	43.577	3810.285
81	72.399	3948.276
82	29.097	3885.708
83	13.744	4125.742
84	21.237	3903.810
85	16.135	3992.581
86	21.559	4111.330
87	155.967	4239.562
88	32.177	4005.639
89	16.410	3602.776
90	6.022	3461.771
91	19.536	4326.704
92	6.252	3724.316
93	33.740	4192.448
94	11.814	3780.358
95	28.316	4066.756
96	15.123	3855.489
97	18.387	3757.548
98	32.867	3927.551
99	13.606	3814.615
100	14.204	4074.686
101	23.122	3944.551
102	35.901	3927.134
103	21.053	3974.290
104	10.527	3746.790
105	21.421	3954.826
106	21.834	4087.928
107	18.019	3932.321
108	6.619	3591.917
109	6.206	3557.874
