 	Area	Mean
1	116.573	676.639
2	9.929	653.681
3	23.535	550.277
4	410.029	713.190
5	12.227	620.929
6	18.341	631.135
7	13.193	609.958
8	26.569	667.071
9	11.906	652.255
10	7.493	620.485
11	9.469	617.811
12	10.756	623.372
13	29.327	636.503
14	15.537	613.834
15	47.392	739.728
16	21.834	647.794
17	28.454	681.241
18	12.825	661.581
19	8.090	654.438
20	29.235	728.818
21	16.089	672.049
22	31.488	689.442
23	19.536	648.442
24	13.055	642.261
25	46.887	745.451
26	139.235	683.203
27	9.331	548.025
28	97.129	702.342
29	19.582	666.932
30	20.869	657.601
31	74.099	704.254
32	31.074	703.778
33	104.392	650.734
34	41.738	668.624
35	24.639	633.095
36	17.835	733.696
37	80.305	734.899
38	42.979	711.651
39	19.490	657.557
40	272.403	668.993
41	23.168	639.000
42	22.432	614.953
43	17.238	682.237
44	13.377	642.780
45	11.676	690.862
46	15.767	645.988
47	18.203	712.199
48	45.508	663.422
49	21.926	716.084
50	12.779	694.165
51	18.249	690.290
52	92.027	696.699
53	29.097	613.823
54	38.061	666.641
55	49.139	688.941
56	53.966	668.098
57	18.433	692.202
58	15.215	695.266
59	8.044	558.063
60	29.511	786.173
61	36.406	784.388
62	9.193	583.920
63	21.283	642.123
64	71.571	665.300
65	541.404	697.894
66	66.285	724.755
67	20.731	744.973
68	104.116	668.276
69	44.772	673.256
70	14.112	676.114
71	14.572	677.953
72	30.430	647.147
73	136.983	668.681
74	16.732	635.000
75	63.343	695.982
76	13.285	681.381
77	26.155	583.397
78	52.725	759.787
79	9.699	687.659
80	23.995	659.379
81	6.343	675.391
82	18.709	624.182
83	28.408	747.353
84	37.280	707.227
85	26.339	652.185
86	5.608	625.172
87	77.593	727.625
88	26.339	680.361
89	194.488	671.448
90	12.319	645.530
91	16.732	687.786
92	26.845	757.808
93	11.676	701.409
94	200.602	709.627
95	17.054	667.782
96	23.995	643.349
97	25.604	606.368
98	14.020	634.367
99	28.224	709.713
100	6.941	628.404
101	9.193	596.695
102	60.631	652.218
103	26.385	649.760
104	19.996	691.087
105	12.043	699.046
106	74.375	655.433
107	23.949	673.553
108	5.286	625.252
109	44.037	635.718
110	18.617	718.946
111	13.468	716.884
112	11.078	633.274
113	19.490	677.413
114	9.653	658.943
115	6.757	587.959
116	26.707	660.439
117	15.353	667.419
118	13.147	703.685
