 	Area	Mean
1	83.569	1378.979
2	44.267	1281.117
3	50.932	1342.924
4	19.996	1347.837
5	22.432	1384.211
6	41.233	1407.978
7	16.916	1108.541
8	8.734	1105.747
9	13.744	1310.070
10	27.167	1238.147
11	145.854	1297.452
12	39.808	1261.950
13	24.684	1370.399
14	155.829	1443.093
15	21.743	1210.171
16	7.768	1191.574
17	11.078	1267.328
18	6.160	1252.485
19	16.456	1246.592
20	18.157	1387.767
21	23.397	1351.631
22	5.010	1221.972
23	16.594	1310.316
24	23.995	1295.508
25	21.926	1517.763
26	1522.945	1378.099
27	35.717	1291.308
28	21.743	1318.163
29	27.075	1367.343
30	14.847	1259.297
31	19.996	1358.625
32	9.148	1176.141
33	55.758	1375.542
34	18.985	1429.247
35	82.695	1575.275
36	23.903	1479.040
37	21.053	1288.716
38	24.822	1379.769
39	11.906	1264.394
40	41.325	1327.960
41	18.617	1370.272
42	320.301	1341.522
43	55.023	1413.013
44	28.546	1305.142
45	27.397	1299.352
46	25.696	1392.852
47	35.119	1328.527
48	22.432	1354.623
49	22.156	1304.699
50	50.656	1488.240
51	74.283	1350.666
52	30.292	1195.907
53	21.099	1316.059
54	15.031	1196.067
55	12.595	1267.891
56	114.872	1313.611
57	50.702	1397.373
58	14.434	1344.131
59	34.797	1349.979
60	16.686	1330.835
61	34.200	1415.788
62	14.388	1326.495
63	33.280	1399.892
64	35.671	1247.022
65	16.089	1298.046
66	18.157	1318.375
67	17.605	1309.945
68	20.318	1340.195
69	15.859	1211.809
70	18.249	1383.481
71	10.618	1279.913
72	20.501	1428.953
73	310.372	1316.281
74	11.768	1153.875
75	120.067	1347.412
76	28.500	1247.208
77	12.365	1353.379
78	28.270	1318.930
79	102.139	1343.314
80	10.572	1295.687
81	81.178	1267.545
82	95.750	1320.283
83	55.942	1368.998
84	20.731	1317.293
85	20.180	1293.670
86	50.932	1355.465
87	22.800	1387.246
88	14.526	1232.753
89	6.206	1152.496
90	15.215	1408.396
91	19.398	1293.291
92	18.617	1289.615
93	52.173	1424.989
94	14.342	1234.465
95	10.251	1266.610
96	18.295	1225.053
97	14.526	1187.544
98	16.916	1260.315
99	18.893	1307.080
100	9.515	1176.729
101	21.283	1383.166
102	18.755	1314.811
103	7.355	1150.100
104	15.675	1377.792
105	31.442	1472.651
106	14.342	1388.119
107	6.298	1283.956
108	5.792	1284.246
