 	Area	Mean
1	13.744	7339.037
2	38.659	7419.045
3	18.709	7112.275
4	94.003	7601.872
5	32.959	7383.563
6	10.802	6298.302
7	26.385	8068.915
8	106.782	7092.855
9	6.619	6335.181
10	20.318	7740.989
11	55.023	8847.071
12	27.167	7307.562
13	39.486	7282.637
14	64.400	7592.732
15	36.590	7005.926
16	25.742	7239.955
17	59.758	7261.228
18	24.776	7757.766
19	21.513	7318.402
20	13.606	6548.517
21	22.018	7033.119
22	15.997	7517.141
23	59.712	6854.095
24	34.613	7639.274
25	6.941	6318.166
26	36.728	8088.217
27	29.373	7408.150
28	49.047	6985.316
29	23.259	7076.528
30	15.997	6758.172
31	26.845	8208.339
32	39.486	7130.236
33	14.526	7553.104
34	110.460	7941.980
35	171.412	7485.656
36	99.657	7484.878
37	23.122	6992.527
38	15.491	6476.593
39	197.568	7284.273
40	25.328	7107.256
41	18.387	7110.915
42	101.956	7175.026
43	8.090	6543.670
44	26.845	7215.803
45	14.158	7282.442
46	32.315	7211.973
47	17.651	7651.714
48	30.155	7508.915
49	67.204	7821.039
50	41.922	6937.249
51	20.180	7126.251
52	21.375	6777.458
53	16.043	7499.539
54	61.596	8574.205
55	55.988	7126.448
56	85.867	7253.798
57	16.962	7783.350
58	197.981	7789.981
59	111.471	7529.470
60	6.343	6808.848
61	22.754	7371.408
62	27.397	8305.701
63	12.549	6991.740
64	243.673	8608.039
65	16.594	6852.712
66	198.763	7693.075
67	24.041	7296.734
68	24.409	8038.092
69	7.768	6126.811
70	12.641	7213.193
71	17.973	6618.026
72	21.743	7034.723
73	51.713	7442.105
74	47.806	8284.538
75	21.697	7344.761
76	24.133	7718.771
77	26.201	7840.949
78	12.641	7169.335
79	55.575	7058.647
80	71.939	7590.922
81	16.089	6901.749
82	45.692	7467.632
83	13.836	7568.555
84	43.163	6991.557
85	27.626	7262.526
86	20.869	7501.800
87	27.902	6774.343
88	24.960	6776.398
89	34.659	7825.363
90	55.529	7029.108
91	21.697	7656.655
92	15.491	7088.234
93	36.314	7514.866
94	39.072	7582.206
95	46.749	7547.795
96	25.650	7112.746
97	24.179	7598.437
98	20.226	7597.320
99	25.834	7107.224
100	11.308	7119.805
101	16.181	7090.085
102	19.168	7480.072
103	36.820	7054.348
104	21.926	6741.287
105	10.343	6714.929
106	13.101	6780.751
107	27.672	7623.482
108	10.343	6940.756
109	13.285	7367.869
110	8.366	6526.995
111	12.779	6847.176
112	21.283	8233.719
113	9.285	6834.267
114	27.029	7182.910
115	17.789	8274.160
116	26.799	6972.698
117	12.319	6626.541
118	18.387	7909.540
119	8.872	7520.648
