 	Area	Mean
1	64.998	4530.534
2	16.778	4222.877
3	27.994	4674.314
4	15.215	4939.628
5	306.005	5266.875
6	793.718	5037.769
7	15.445	5236.661
8	82.695	4706.023
9	8.688	4464.857
10	13.009	4191.067
11	14.112	4459.173
12	37.509	4350.788
13	30.614	4628.620
14	18.249	4472.348
15	28.270	4602.270
16	7.631	3976.102
17	17.330	4395.143
18	30.109	5031.385
19	36.130	4513.440
20	44.496	4921.625
21	32.407	4405.935
22	22.018	4754.228
23	57.965	4683.111
24	35.211	4499.791
25	546.092	5223.321
26	52.633	4925.176
27	12.457	4180.956
28	27.764	4853.182
29	31.304	4027.413
30	12.273	4834.738
31	5.976	3980.369
32	26.983	4488.339
33	360.614	4848.900
34	20.455	4478.494
35	31.304	4110.627
36	45.508	4241.642
37	22.340	5155.430
38	31.350	4389.500
39	12.733	4413.487
40	18.065	4387.392
41	38.980	4345.653
42	504.170	4805.449
43	9.837	4121.589
44	16.778	4309.458
45	19.628	4747.782
46	20.180	4158.797
47	27.856	4311.325
48	8.734	4288.158
49	6.252	3811.809
50	30.798	4550.654
51	23.857	4177.218
52	15.399	4441.185
53	34.659	4997.914
54	64.860	5135.826
55	46.933	4646.488
56	31.809	4173.038
57	22.478	4533.990
58	77.317	4947.001
59	6.619	4345.125
60	37.831	4513.040
61	24.455	4681.250
62	17.238	4483.165
63	30.063	4196.459
64	9.975	4044.862
65	44.359	4770.237
66	11.952	3991.800
67	12.227	4219.816
68	30.522	4759.800
69	15.951	4466.092
70	13.974	4209.296
71	42.979	4536.649
72	9.837	4238.631
73	159.231	4672.083
74	12.687	4198.866
75	21.697	4558.617
76	37.280	4570.947
77	20.272	4289.132
78	9.745	4084.127
79	74.513	4489.047
80	11.814	4002.097
81	18.065	4283.748
82	19.628	4561.536
83	5.286	3882.200
84	5.608	4304.811
85	17.560	4243.264
86	19.996	4782.628
87	7.493	4050.049
88	22.432	4735.717
89	14.066	4245.284
90	5.286	4064.548
91	9.883	3882.284
92	51.483	4970.045
93	21.743	5001.256
94	23.076	4537.094
95	20.777	4534.861
96	94.923	4348.757
97	6.849	4276.617
98	10.618	4178.212
99	66.974	5422.449
100	54.793	4394.704
101	19.214	4440.053
102	34.567	5375.781
103	5.378	3982.974
104	28.362	4101.494
105	10.389	4237.805
106	11.814	4415.642
107	5.976	4321.192
