 	Area	Mean
1	20.088	858.215
2	71.387	752.423
3	350.363	819.031
4	237.467	830.983
5	113.493	833.927
6	6.711	915.993
7	17.146	843.389
8	15.031	737.716
9	57.551	839.477
10	20.364	806.788
11	11.630	715.897
12	21.467	795.925
13	27.902	813.751
14	13.101	776.470
15	49.277	902.601
16	287.480	789.117
17	22.616	799.589
18	128.663	889.068
19	18.479	772.483
20	17.192	735.791
21	28.454	835.918
22	19.306	779.076
23	96.118	786.187
24	37.325	906.603
25	6.435	704.179
26	1141.599	824.254
27	17.330	799.767
28	25.834	823.349
29	30.798	819.937
30	30.660	783.454
31	68.675	774.136
32	117.768	858.526
33	19.352	783.653
34	16.962	734.726
35	16.318	764.806
36	25.052	784.409
37	50.472	778.075
38	31.212	804.127
39	29.511	745.688
40	12.273	749.139
41	27.488	812.349
42	36.038	828.310
43	63.665	832.091
44	26.247	798.072
45	18.617	775.926
46	32.959	730.522
47	22.294	788.709
48	21.972	743.276
49	56.724	716.633
50	24.822	853.493
51	25.650	940.081
52	19.076	714.513
53	9.837	770.850
54	50.472	904.930
55	84.626	764.113
56	14.572	747.647
57	11.124	750.310
58	6.298	701.299
59	11.492	728.192
60	13.422	721.024
61	14.112	797.023
62	27.488	835.508
63	54.150	767.465
64	21.007	755.357
65	382.954	818.307
66	69.732	805.993
67	21.697	718.530
68	11.906	755.278
69	8.826	740.135
70	13.514	785.531
71	16.870	735.649
72	15.307	725.865
73	16.226	725.048
74	18.433	685.020
75	11.124	835.959
76	9.699	716.626
77	10.205	670.054
78	6.389	722.410
79	14.572	713.136
80	15.215	823.384
81	22.432	757.311
82	12.135	745.674
83	64.952	775.837
84	12.825	712.466
85	18.939	695.954
86	49.047	777.609
87	16.548	801.681
88	15.399	745.985
89	20.639	703.016
90	66.791	809.887
91	11.584	748.218
92	59.068	808.357
93	15.537	770.349
94	21.145	859.557
95	6.849	734.483
96	9.193	805.360
