 	Area1	Mean1	Min1	Max1	IntDen1	RawIntDen1
1	4348.822	3762.059	1887	6863	16360525	986201152
2	4348.822	3587.078	1852	7247	15599564	940330944
3	4348.822	3614.399	1892	7129	15718379	947492992
4	4348.822	3681.488	1615	7718	16010139	965080064
5	4348.822	3298.630	1525	6441	14345156	864716032
6	4348.822	3730.872	1862	7199	16224900	978025728
7	4348.822	3548.781	1727	6770	15433018	930291648
8	4348.822	3472.258	1816	6797	15100234	910231680
9	4348.822	3566.280	1784	7346	15509117	934878848
10	4348.822	3476.866	1619	6674	15120275	911439680
