 	Area1	Mean1	Min1	Max1	IntDen1	RawIntDen1
1	4348.822	5482.729	1541	23680	23843416	1437264640
2	4348.822	4780.206	1517	19442	20788266	1253102336
3	4348.822	5035.139	1518	20910	21896922	1319931392
4	4348.822	4192.974	1476	17254	18234500	1099163008
5	4348.822	4606.061	1472	18520	20030938	1207451136
6	4348.822	3783.974	1471	17548	16455831	991946112
7	4348.822	4126.188	1453	17437	17944056	1081655296
8	4348.822	3955.962	1503	22427	17203774	1037031616
9	4348.822	4130.783	1427	20978	17964042	1082860032
10	4348.822	5419.246	1436	20035	23567336	1420622720
