 	Area1	Mean1	IntDen1	RawIntDen1
1	4394.184	586.075	2575319.750	153635952
2	4394.184	610.906	2684433	160145328
3	4394.184	631.778	2776147.750	165616752
4	4394.184	632.393	2778852.250	165778112
5	4394.184	648.250	2848531.500	169934960
6	4394.184	671.492	2950661.500	176027728
7	4394.184	690.622	3034721.500	181042496
8	4394.184	867.359	3811333	227372848
9	4394.184	948.421	4167538.250	248622992
10	4394.184	999.180	4390578.500	261928912
11	4394.184	1055.930	4639952	276805824
12	4394.184	1091.062	4794328	286015424
13	4394.184	1116.814	4907486.500	292766144
14	4394.184	1135.362	4988989	297628320
15	4394.184	1146.365	5037340	300512800
16	4394.184	1160.807	5100801.500	304298720
17	4394.184	1188.607	5222957	311586176
18	4394.184	1204.203	5291487.500	315674496
19	4394.184	1221.407	5367088.500	320184640
20	4394.184	1240.798	5452295	325267776
21	4394.184	1243.523	5464270.500	325982208
22	4394.184	1268.697	5574886	332581216
23	4394.184	1287.581	5657869.500	337531744
24	4394.184	1274.125	5598739	334004224
25	4394.184	1273.918	5597830	333949952
26	4394.184	1280.747	5627836.500	335740064
27	4394.184	1300.101	5712884	340813760
28	4394.184	1310.618	5759096.500	343570656
29	4394.184	1324.483	5820023.500	347205376
30	4394.184	1337.670	5877970	350662272
31	4394.184	1328.666	5838401.500	348301760
32	4394.184	1344.698	5908852	352504608
33	4394.184	1372.542	6031203.500	359803776
34	4394.184	1379.669	6062517	361671840
35	4394.184	1372.331	6030274.500	359748320
36	4394.184	1388.605	6101784.500	364014400
37	4394.184	1406.284	6179472	368649024
38	4394.184	1418.067	6231248	371737824
39	4394.184	1427.388	6272205	374181184
40	4394.184	1443.939	6344934	378519968
41	4394.184	1460.468	6417566	382852992
42	4394.184	1472.020	6468326	385881184
43	4394.184	1571.919	6907299	412069024
44	4394.184	1442.005	6336433	378012832
45	4394.184	1443.423	6342666	378384704
46	4394.184	1451.863	6379751.500	380597088
47	4394.184	1464.647	6435927.500	383948384
48	4394.184	1471.551	6466264	385758176
49	4394.184	1466.818	6445469.500	384517632
50	4394.184	1474.313	6478402.500	386482336
51	4394.184	1460.696	6418565	382912576
52	4394.184	1460.667	6418439.500	382905120
53	4394.184	1450.655	6374443	380280416
54	4394.184	1444.214	6346140	378591936
55	4394.184	1423.336	6254400	373118976
56	4394.184	1392.395	6118440.500	365008032
57	4394.184	1373.266	6034384	359993504
58	4394.184	1348.215	5924304	353426464
59	4394.184	1326.391	5828404	347705312
60	4394.184	1327.506	5833306	347997760
61	4394.184	1301.413	5718646.500	341157504
62	4394.184	1292.239	5678334	338752576
63	4394.184	1278.211	5616693.500	335075328
64	4394.184	1278.960	5619983.500	335271584
65	4394.184	1278.723	5618944	335209568
66	4394.184	1276.048	5607191	334508416
67	4394.184	1271.570	5587510.500	333334336
68	4394.184	1246.988	5479496	326890528
69	4394.184	1237.105	5436068.500	324299776
70	4394.184	1235.541	5429192.500	323889568
71	4394.184	1248.528	5486262	327294176
72	4394.184	1233.300	5419345.500	323302112
73	4394.184	1240.312	5450159.500	325140384
74	4394.184	1244.051	5466590	326120576
75	4394.184	1290.877	5672350.500	338395648
76	4394.184	1294.780	5689502.500	339418880
77	4394.184	1307.338	5744682.500	342710752
78	4394.184	1313.309	5770922.500	344276160
79	4394.184	1306.181	5739598.500	342407456
