 	Area1	Mean1	IntDen1	RawIntDen1
1	4394.184	97.467	428289.375	25550476
2	4394.184	100.946	443577.125	26462498
3	4394.184	103.719	455761.656	27189392
4	4394.184	104.708	460104.938	27448498
5	4394.184	100.738	442661.219	26407858
6	4394.184	106.490	467934.531	27915590
7	4394.184	110.514	485617.812	28970520
8	4394.184	108.198	475442.875	28363516
9	4394.184	120.594	529910.938	31612916
10	4394.184	128.402	564221.312	33659772
11	4394.184	136.201	598492.938	35704316
12	4394.184	143.186	629187.688	37535476
13	4394.184	151.536	665876.375	39724212
14	4394.184	157.061	690153.188	41172496
15	4394.184	163.664	719170.250	42903568
16	4394.184	169.053	742849	44316172
17	4394.184	171.608	754078.312	44986080
18	4394.184	179.059	786816.625	46939152
19	4394.184	181.039	795519.250	47458324
20	4394.184	183.880	808003.625	48203104
21	4394.184	189.548	832910	49688944
22	4394.184	193.013	848133	50597104
23	4394.184	193.952	852260.188	50843320
24	4394.184	198.336	871526.500	51992692
25	4394.184	201.954	887423.500	52941060
26	4394.184	203.524	894323	53352664
27	4394.184	209.070	918693.500	54806536
28	4394.184	213.218	936918.625	55893792
29	4394.184	216.916	953168.375	56863204
30	4394.184	222.379	977174.375	58295328
31	4394.184	225.602	991337.062	59140236
32	4394.184	230.058	1010916.625	60308292
33	4394.184	229.712	1009397.438	60217664
34	4394.184	234.162	1028952	61384232
35	4394.184	236.593	1039633.125	62021432
36	4394.184	244.651	1075041.625	64133800
37	4394.184	246.950	1085144.375	64736500
38	4394.184	250.376	1100197.250	65634512
39	4394.184	256.793	1128394	67316648
40	4394.184	260.112	1142980.750	68186848
41	4394.184	264.327	1161503.125	69291840
42	4394.184	265.648	1167307.875	69638136
43	4394.184	258.782	1137134.500	67838080
44	4394.184	286.938	1260859	75219112
45	4394.184	292.431	1284996.250	76659072
46	4394.184	293.065	1287782	76825264
47	4394.184	299.377	1315516.500	78479816
48	4394.184	303.110	1331919.250	79458360
49	4394.184	314.016	1379843.875	82317400
50	4394.184	321.234	1411563.125	84209680
51	4394.184	332.311	1460234.250	87113256
52	4394.184	337.669	1483781	88517984
53	4394.184	347.793	1528268.250	91171960
54	4394.184	350.850	1541701.250	91973336
55	4394.184	359.506	1579733.750	94242240
56	4394.184	364.264	1600643.125	95489632
57	4394.184	371.098	1630670.750	97280992
58	4394.184	380.844	1673499	99835992
59	4394.184	386.109	1696633.250	101216120
60	4394.184	391.190	1718960.625	102548104
61	4394.184	391.994	1722493.375	102758856
62	4394.184	402.100	1766900.500	105408056
63	4394.184	407.631	1791205.750	106858032
64	4394.184	412.307	1811752.750	108083808
65	4394.184	413.812	1818367	108478400
66	4394.184	421.278	1851173.500	110435528
67	4394.184	431.149	1894549.750	113023232
68	4394.184	437.845	1923973	114778536
69	4394.184	445.013	1955469	116657488
70	4394.184	449.754	1976303.125	117900392
71	4394.184	467.653	2054954.250	122592488
72	4394.184	473.855	2082205.750	124218232
73	4394.184	489.730	2151964	128379800
74	4394.184	500.276	2198306.250	131144440
75	4394.184	544.693	2393479	142787872
76	4394.184	552.427	2427463.750	144815296
77	4394.184	554.940	2438508.750	145474224
78	4394.184	565.824	2486333.750	148327328
79	4394.184	528.698	2323197.750	138595104
