 	Area1	Mean1	IntDen1	RawIntDen1
1	4394.184	412.457	1812411.250	108123096
2	4394.184	478.699	2103492.750	125488144
3	4394.184	519.061	2280851.250	136068832
4	4394.184	563.254	2475040.750	147653600
5	4394.184	634.062	2786183	166215440
6	4394.184	671.310	2949859	175979856
7	4394.184	717.380	3152299.250	188056848
8	4394.184	365.073	1604198.750	95701744
9	4394.184	372.213	1635570.500	97573296
10	4394.184	377.482	1658724.625	98954600
11	4394.184	372.924	1638698.625	97759912
12	4394.184	380.925	1673856.375	99857320
13	4394.184	384.948	1691532.125	100911800
14	4394.184	836.452	3675523.750	219270864
15	4394.184	846.379	3719145.750	221873232
16	4394.184	848.817	3729856.250	222512192
17	4394.184	847.016	3721944.750	222040208
18	4394.184	854.553	3755064.250	224016016
19	4394.184	863.281	3793413.250	226303808
20	4394.184	879.806	3866028	230635792
21	4394.184	906.835	3984798	237721264
22	4394.184	911.211	4004030	238868576
23	4394.184	909.805	3997849.750	238499888
24	4394.184	903.960	3972167.250	236967744
25	4394.184	903.241	3969005.500	236779120
26	4394.184	899.711	3953495.750	235853856
27	4394.184	901.689	3962188.250	236372432
28	4394.184	904.477	3974437.750	237103200
29	4394.184	915.310	4022041.500	239943104
30	4394.184	916.326	4026502.750	240209248
31	4394.184	921.938	4051164	241680448
32	4394.184	921.485	4049173.250	241561696
33	4394.184	927.819	4077006	243222112
34	4394.184	942.424	4141184.500	247050816
35	4394.184	955.544	4198837.500	250490208
36	4394.184	966.279	4246009	253304352
37	4394.184	980.160	4307002.500	256943008
38	4394.184	998.169	4386138.500	261664032
39	4394.184	1002.064	4403254	262685120
40	4394.184	1015.877	4463950	266306032
41	4394.184	1040.283	4571194.500	272703936
42	4394.184	1058.207	4649956	277402592
43	4394.184	1088.274	4782078	285284608
44	4394.184	1116.628	4906668	292717280
45	4394.184	1144.142	5027572.500	299930080
46	4394.184	1172.303	5151316.500	307312288
47	4394.184	1205.638	5297795	316050752
48	4394.184	1239.663	5447307	324970208
49	4394.184	1272.262	5590555	333515968
50	4394.184	1305.890	5738321.500	342331264
51	4394.184	1350.737	5935384.500	354087488
52	4394.184	1387.814	6098310	363807136
53	4394.184	1420.215	6240687.500	372300928
54	4394.184	1453.522	6387042	381032000
55	4394.184	1489.692	6545979.500	390513760
56	4394.184	1610.943	7078781	422299104
57	4394.184	1651.742	7258059	432994336
58	4394.184	1674.380	7357534.500	438928736
59	4394.184	1707.783	7504313.500	447685152
60	4394.184	1739.891	7645400.500	456101984
61	4394.184	1762.802	7746075	462107904
