 	Area1	Mean1	IntDen1	RawIntDen1
1	4394.184	152.639	670722.438	40013312
2	4394.184	164.114	721144.938	43021376
3	4394.184	176.446	775336.062	46254256
4	4394.184	186.332	818777.312	48845832
5	4394.184	199.180	875235.250	52213944
6	4394.184	221.681	974105.500	58112252
7	4394.184	237.194	1042271.875	62178856
8	4394.184	288.318	1266923.125	75580880
9	4394.184	303.392	1333160.625	79532416
10	4394.184	314.094	1380186	82337808
11	4394.184	323.009	1419362.375	84674960
12	4394.184	328.571	1443801.875	86132944
13	4394.184	350.986	1542296.500	92008848
14	4394.184	352.311	1548120.125	92356264
15	4394.184	365.112	1604368.250	95711864
16	4394.184	374.381	1645099	98141736
17	4394.184	379.586	1667971.500	99506248
18	4394.184	384.368	1688984.125	100759792
19	4394.184	385.537	1694119.875	101066176
20	4394.184	367.512	1614917.375	96341192
21	4394.184	377.180	1657398.625	98875504
22	4394.184	375.559	1650274.375	98450480
23	4394.184	374.225	1644415.625	98100968
24	4394.184	382.842	1682276.375	100359632
25	4394.184	387.444	1702498	101565992
26	4394.184	389.043	1709524.375	101985168
27	4394.184	391.729	1721330.875	102689504
28	4394.184	394.226	1732299.375	103343856
29	4394.184	401.667	1764998	105294560
30	4394.184	407.442	1790377.125	106808600
31	4394.184	413.902	1818760.250	108501848
32	4394.184	423.915	1862760	111126744
33	4394.184	435.499	1913660.750	114163336
34	4394.184	444.679	1954000.875	116569912
35	4394.184	456.225	2004736.500	119596640
36	4394.184	472.734	2077282.250	123924512
37	4394.184	486.294	2136863.750	127478960
38	4394.184	504.795	2218161.250	132328936
39	4394.184	519.232	2281602.500	136113648
40	4394.184	535.028	2351012.500	140254448
41	4394.184	553.493	2432149.750	145094848
42	4394.184	573.287	2519128.500	150283744
43	4394.184	595.193	2615388.250	156026320
44	4394.184	617.011	2711261	161745808
45	4394.184	645.551	2836670	169227328
46	4394.184	664.849	2921470	174286256
47	4394.184	688.285	3024450.500	180429760
48	4394.184	715.186	3142657.250	187481632
49	4394.184	747.240	3283510.750	195884528
50	4394.184	784.239	3446089.500	205583504
51	4394.184	825.484	3627327.250	216395616
52	4394.184	866.126	3805919	227049856
53	4394.184	913.315	4013273.750	239420032
54	4394.184	967.438	4251099	253607984
55	4394.184	1037.800	4560285.500	272053152
56	4394.184	1094.748	4810522.500	286981536
57	4394.184	1184.310	5204077.500	310459840
58	4394.184	1260.384	5538358.500	330402080
59	4394.184	1329.458	5841881.500	348509344
60	4394.184	1368.510	6013484.500	358746688
61	4394.184	1410.238	6196843	369685312
