 	Area1	Mean1	IntDen1	RawIntDen1
1	4394.184	64.925	285290.719	17019600
2	4394.184	69.422	305053.156	18198568
3	4394.184	73.899	324725.469	19372160
4	4394.184	76.095	334375.156	19947832
5	4394.184	81.881	359800.438	21464628
6	4394.184	88.608	389361.719	23228168
7	4394.184	90.302	396805.219	23672224
8	4394.184	96.282	423081.656	25239800
9	4394.184	100.169	440160.281	26258660
10	4394.184	105.429	463273.812	27637544
11	4394.184	110.165	484084.938	28879076
12	4394.184	114.877	504790.188	30114288
13	4394.184	104.157	457684	27304072
14	4394.184	55.840	245372.953	14638224
15	4394.184	56.229	247078.719	14739985
16	4394.184	56.101	246516.875	14706467
17	4394.184	56.490	248227.750	14808533
18	4394.184	55.760	245019.312	14617127
19	4394.184	125.399	551026.812	32872628
20	4394.184	134.217	589774.625	35184208
21	4394.184	136.519	599890.500	35787688
22	4394.184	137.088	602387.750	35936672
23	4394.184	139.791	614266.938	36645344
24	4394.184	140.694	618235.062	36882072
25	4394.184	142.871	627799.812	37452680
26	4394.184	142.555	626414.812	37370056
27	4394.184	143.852	632110.375	37709832
28	4394.184	144.493	634929.875	37878040
29	4394.184	146.476	643643.938	38397892
30	4394.184	149.429	656620	39172004
31	4394.184	150.048	659337.625	39334132
32	4394.184	153.156	672993.875	40148824
33	4394.184	156.551	687913.438	41038880
34	4394.184	159.504	700890.125	41813028
35	4394.184	162.306	713200.188	42547416
36	4394.184	165.786	728493.188	43459748
37	4394.184	169.888	746518	44535056
38	4394.184	173.094	760606.438	45375528
39	4394.184	175.925	773045.375	46117600
40	4394.184	180.959	795165.062	47437192
41	4394.184	186.417	819150.688	48868104
42	4394.184	189.346	832020.750	49635896
43	4394.184	195.849	860595.688	51340592
44	4394.184	201.791	886706.375	52898280
45	4394.184	211.678	930152.562	55490152
46	4394.184	216.972	953415.938	56877972
47	4394.184	223.542	982286.750	58600320
48	4394.184	236.174	1037791.938	61911596
49	4394.184	245.544	1078967	64367980
50	4394.184	255.500	1122712.375	66977696
51	4394.184	265.952	1168642	69717720
52	4394.184	280.109	1230848.875	73428800
53	4394.184	294.021	1291980.125	77075712
54	4394.184	307.713	1352146.375	80665048
55	4394.184	321.616	1413238	84309600
56	4394.184	338.681	1488227.375	88783240
57	4394.184	353.911	1555149.125	92775592
58	4394.184	374.204	1644322	98095384
59	4394.184	393.568	1729412.250	103171616
60	4394.184	411.585	1808582.125	107894656
61	4394.184	424.807	1866681.375	111360688
