 	Area1	Mean1	IntDen1	RawIntDen1
1	4394.184	206.132	905782.438	54036300
2	4394.184	218.780	961358.062	57351776
3	4394.184	226.189	993915.062	59294032
4	4394.184	243.469	1069848.750	63824008
5	4394.184	256.605	1127569.500	67267456
6	4394.184	265.552	1166885	69612912
7	4394.184	297.870	1308894	78084744
8	4394.184	326.353	1434054.250	85551432
9	4394.184	347.228	1525785.250	91023832
10	4394.184	367.035	1612817.875	96215944
11	4394.184	375.673	1650775.750	98480392
12	4394.184	395.105	1736163.250	103574368
13	4394.184	431.836	1897566.375	113203200
14	4394.184	463.959	2038720.125	121624008
15	4394.184	465.044	2043489.625	121908544
16	4394.184	465.054	2043534.250	121911200
17	4394.184	466.951	2051868.375	122408392
18	4394.184	467.521	2054374.500	122557904
19	4394.184	437.621	1922985.125	114719600
20	4394.184	436.489	1918013.500	114423008
21	4394.184	428.472	1882784.500	112321344
22	4394.184	427.784	1879759.375	112140880
23	4394.184	428.312	1882079.500	112279296
24	4394.184	430.133	1890084.875	112756864
25	4394.184	430.456	1891503	112841472
26	4394.184	431.162	1894604.625	113026504
27	4394.184	430.933	1893598.750	112966496
28	4394.184	431.170	1894638.500	113028528
29	4394.184	432.075	1898618.375	113265952
30	4394.184	436.075	1916194.125	114314472
31	4394.184	441.814	1941413.500	115818984
32	4394.184	443.733	1949844.500	116321952
33	4394.184	449.314	1974366.125	117784840
34	4394.184	452.400	1987927.750	118593888
35	4394.184	456.274	2004950.500	119609408
36	4394.184	464.790	2042372.375	121841888
37	4394.184	475.501	2089440.375	124649832
38	4394.184	485.183	2131982.750	127187784
39	4394.184	492.125	2162486.750	129007552
40	4394.184	502.923	2209938	131838360
41	4394.184	514.173	2259370	134787328
42	4394.184	525.200	2307826	137678064
43	4394.184	543.882	2389917.500	142575408
44	4394.184	559.987	2460687.250	146797328
45	4394.184	573.074	2518192	150227872
46	4394.184	593.530	2608079.250	155590288
47	4394.184	604.412	2655896	158442896
48	4394.184	624.712	2745098.250	163764448
49	4394.184	645.075	2834578.250	169102544
50	4394.184	670.227	2945101.250	175696016
51	4394.184	696.338	3059839	182540944
52	4394.184	724.292	3182672.250	189868800
53	4394.184	751.676	3303000.500	197047232
54	4394.184	781.345	3433372	204824816
55	4394.184	811.399	3565436.750	212703408
56	4394.184	845.694	3716133	221693488
57	4394.184	873.587	3838703.250	229005680
58	4394.184	903.170	3968696	236760656
59	4394.184	929.661	4085103.250	243705168
60	4394.184	966.588	4247363.500	253385136
61	4394.184	1030.675	4528976.500	270185344
