 	Area1	Mean1	IntDen1	RawIntDen1
1	4394.184	189.979	834804.062	49801940
2	4394.184	201.580	885778.250	52842908
3	4394.184	206.059	905460.875	54017116
4	4394.184	216.427	951019.250	56734992
5	4394.184	216.900	953096.625	56858920
6	4394.184	228.703	1004961.250	59953016
7	4394.184	218.990	962282	57406896
8	4394.184	283.408	1245345.500	74293632
9	4394.184	308.365	1355012.250	80836016
10	4394.184	322.220	1415894.750	84468088
11	4394.184	335.887	1475949.500	88050776
12	4394.184	349.081	1533927.750	91509592
13	4394.184	360.117	1582420.500	94402528
14	4394.184	348.462	1531204.625	91347136
15	4394.184	357.849	1572455.625	93808048
16	4394.184	362.251	1591795.875	94961832
17	4394.184	371.218	1631201.500	97312656
18	4394.184	379.024	1665501.375	99358888
19	4394.184	383.638	1685775.875	100568400
20	4394.184	389.497	1711521.750	102104320
21	4394.184	391.010	1718168.500	102500848
22	4394.184	397.289	1745762.625	104147032
23	4394.184	403.730	1774064.875	105835464
24	4394.184	404.848	1778975.625	106128416
25	4394.184	404.603	1777897.875	106064128
26	4394.184	409.228	1798223.750	107276704
27	4394.184	412.672	1813355.250	108179408
28	4394.184	414.883	1823072.750	108759128
29	4394.184	417.570	1834877.375	109463352
30	4394.184	417.170	1833121.125	109358584
31	4394.184	418.667	1839697.625	109750912
32	4394.184	423.853	1862486.250	111110416
33	4394.184	423.493	1860907.750	111016256
34	4394.184	426.463	1873957.375	111794752
35	4394.184	430.361	1891087.500	112816680
36	4394.184	430.781	1892932	112926720
37	4394.184	419.266	1842332.125	109908080
38	4394.184	419.258	1842297.500	109906016
39	4394.184	423.448	1860707.125	111004280
40	4394.184	425.463	1869562.500	111532560
41	4394.184	428.422	1882565.750	112308304
42	4394.184	430.383	1891181.250	112822272
43	4394.184	456.783	2007186.875	119742832
44	4394.184	414.961	1823416.375	108779624
45	4394.184	417.002	1832384	109314608
46	4394.184	414.043	1819379.125	108538776
47	4394.184	418.282	1838006.250	109650008
48	4394.184	417.683	1835377.125	109493168
49	4394.184	418.195	1837626.625	109627368
50	4394.184	419.507	1843390.750	109971240
51	4394.184	420.473	1847633.625	110224352
52	4394.184	425.498	1869715.375	111541688
53	4394.184	429.042	1885289.250	112470776
54	4394.184	433.150	1903340.250	113547640
55	4394.184	438.414	1926473.500	114927712
56	4394.184	436.037	1916028.500	114304592
57	4394.184	444.244	1952091.625	116456008
58	4394.184	451.667	1984710	118401920
59	4394.184	465.763	2046646.625	122096880
60	4394.184	475.457	2089244.375	124638136
61	4394.184	483.011	2122440	126618488
62	4394.184	497.477	2186006.500	130410672
63	4394.184	511.769	2248806.250	134157120
64	4394.184	524.067	2302847.250	137381056
65	4394.184	536.021	2355376.250	140514784
66	4394.184	553.851	2433721.500	145188608
67	4394.184	571.638	2511884.500	149851600
68	4394.184	578.459	2541856.250	151639616
69	4394.184	587.173	2580148	153924000
70	4394.184	607.746	2670549.500	159317072
71	4394.184	630.462	2770367.250	165271904
72	4394.184	645.135	2834840.500	169118192
73	4394.184	663.237	2914386.500	173863680
74	4394.184	681.762	2995786.250	178719744
75	4394.184	738.238	3243953	193524640
76	4394.184	760.309	3340939.500	199310560
77	4394.184	781.150	3432518.250	204773888
78	4394.184	817.492	3592209.250	214300576
79	4394.184	810.155	3559970	212377264
