 	Area1	Mean1	IntDen1	RawIntDen1
1	4394.184	93.521	410950.500	24516090
2	4394.184	74.423	327030.375	19509664
3	4394.184	76.347	335481.781	20013852
4	4394.184	80.430	353424.219	21084244
5	4394.184	78.257	343874	20514504
6	4394.184	83.360	366297.469	21852224
7	4394.184	88.451	388669.719	23186884
8	4394.184	88.394	388418.125	23171876
9	4394.184	102.402	449972.781	26844044
10	4394.184	105.368	463007.281	27621644
11	4394.184	111.328	489197.750	29184088
12	4394.184	103.277	453819.188	27073510
13	4394.184	103.215	453545.875	27057204
14	4394.184	106.991	470139.969	28047160
15	4394.184	111.350	489293.250	29189788
16	4394.184	114.435	502847.281	29998380
17	4394.184	112.002	492157.969	29360688
18	4394.184	113.745	499815.250	29817500
19	4394.184	116.524	512027.062	30546020
20	4394.184	118.901	522473.906	31169248
21	4394.184	120.608	529975.625	31616780
22	4394.184	121.353	533245.375	31811840
23	4394.184	123.019	540566.812	32248618
24	4394.184	124.668	547813.562	32680936
25	4394.184	124.578	547419.562	32657430
26	4394.184	124.613	547573.562	32666620
27	4394.184	125.089	549662.750	32791252
28	4394.184	125.575	551799.375	32918720
29	4394.184	125.681	552264.125	32946444
30	4394.184	124.782	548313.188	32710740
31	4394.184	125.230	550282.812	32828244
32	4394.184	124.181	545672.750	32553220
33	4394.184	123.658	543377.250	32416278
34	4394.184	124.122	545416.312	32537922
35	4394.184	124.679	547863.188	32683898
36	4394.184	124.615	547579.812	32666992
37	4394.184	123.347	542010.250	32334728
38	4394.184	125.130	549845.125	32802134
39	4394.184	123.821	544092.125	32458926
40	4394.184	122.253	537200.562	32047796
41	4394.184	121.779	535119.562	31923648
42	4394.184	121.066	531984.750	31736636
43	4394.184	120.235	528334.500	31518872
44	4394.184	121.496	533875.312	31849420
45	4394.184	122.409	537885.562	32088660
46	4394.184	122.805	539627.250	32192566
47	4394.184	124.358	546450.500	32599620
48	4394.184	123.163	541199.312	32286350
49	4394.184	127.745	561336.438	33487668
50	4394.184	126.111	554154.250	33059204
51	4394.184	126.893	557590	33264168
52	4394.184	128.355	564016.625	33647564
53	4394.184	130.738	574487.875	34272248
54	4394.184	132.257	581162.562	34670440
55	4394.184	133.348	585953.812	34956272
56	4394.184	132.377	581689.188	34701856
57	4394.184	133.271	585615.812	34936104
58	4394.184	131.292	576921.188	34417408
59	4394.184	134.244	589893.688	35191312
60	4394.184	135.855	596973.188	35613656
61	4394.184	137.811	605568.688	36126436
62	4394.184	136.039	597782.250	35661920
63	4394.184	140.559	617642.750	36846740
64	4394.184	145.307	638503.688	38091240
65	4394.184	147.290	647217.438	38611076
66	4394.184	153.865	676112.250	40334856
67	4394.184	156.797	688993.750	41103328
68	4394.184	160.157	703760.250	41984252
69	4394.184	162.026	711972.375	42474164
70	4394.184	167.601	736470	43935620
71	4394.184	174.735	767818.250	45805768
72	4394.184	180.864	794749.875	47412428
73	4394.184	182.136	800337.938	47745792
74	4394.184	190.005	834917.250	49808692
75	4394.184	219.107	962797.812	57437668
76	4394.184	223.942	984042	58705032
77	4394.184	231.841	1018751.125	60775676
78	4394.184	245.872	1080404.750	64453752
79	4394.184	217.072	953854.875	56904156
