"channel"	"pH"	"counts"
"1"	"df"	"5"	"70.3118888888889"
"2"	"df"	"5"	"94.7484666666667"
"3"	"df"	"5"	"92.3502222222222"
"4"	"df"	"5"	"98.9116"
"5"	"df"	"5"	"89.2495333333333"
"6"	"df"	"5"	"100.571760869565"
"7"	"ff"	"5"	"497.793703703704"
"8"	"ff"	"5"	"706.855366666667"
"9"	"ff"	"5"	"689.845861111111"
"10"	"ff"	"5"	"732.151257142857"
"11"	"ff"	"5"	"640.878222222222"
"12"	"ff"	"5"	"725.437782608696"
"13"	"df"	"5.5"	"107.2445"
"14"	"df"	"5.5"	"104.008064516129"
"15"	"df"	"5.5"	"109.046644444444"
"16"	"df"	"5.5"	"101.07325"
"17"	"df"	"5.5"	"108.004457142857"
"18"	"df"	"5.5"	"98.4118947368421"
"19"	"ff"	"5.5"	"648.8433125"
"20"	"ff"	"5.5"	"599.581"
"21"	"ff"	"5.5"	"645.594844444444"
"22"	"ff"	"5.5"	"560.57815"
"23"	"ff"	"5.5"	"623.679628571429"
"24"	"ff"	"5.5"	"613.654815789474"
"25"	"df"	"6"	"161.247903846154"
"26"	"df"	"6"	"145.043774193548"
"27"	"df"	"6"	"150.157288461538"
"28"	"df"	"6"	"152.029916666667"
"29"	"df"	"6"	"140.955444444444"
"30"	"df"	"6"	"134.250142857143"
"31"	"ff"	"6"	"719.058846153846"
"32"	"ff"	"6"	"638.584"
"33"	"ff"	"6"	"677.987692307692"
"34"	"ff"	"6"	"693.849138888889"
"35"	"ff"	"6"	"688.766592592593"
"36"	"ff"	"6"	"602.114285714286"
"37"	"df"	"6.5"	"192.049625"
"38"	"df"	"6.5"	"192.348604651163"
"39"	"df"	"6.5"	"168.896692307692"
"40"	"df"	"6.5"	"179.089527777778"
"41"	"df"	"6.5"	"188.506477272727"
"42"	"df"	"6.5"	"198.503830508475"
"43"	"ff"	"6.5"	"669.98115625"
"44"	"ff"	"6.5"	"675.206697674419"
"45"	"ff"	"6.5"	"587.052153846154"
"46"	"ff"	"6.5"	"602.983416666667"
"47"	"ff"	"6.5"	"637.792795454545"
"48"	"ff"	"6.5"	"680.953423728814"
"49"	"df"	"7"	"241.779173913043"
"50"	"df"	"7"	"267.338897959184"
"51"	"df"	"7"	"233.319179487179"
"52"	"df"	"7"	"241.71405"
"53"	"df"	"7"	"238.713936170213"
"54"	"df"	"7"	"246.499641025641"
"55"	"ff"	"7"	"623.585891304348"
"56"	"ff"	"7"	"672.666755102041"
"57"	"ff"	"7"	"584.513487179487"
"58"	"ff"	"7"	"599.121525"
"59"	"ff"	"7"	"603.941787234043"
"60"	"ff"	"7"	"622.39741025641"
"61"	"df"	"7.5"	"260.166739130435"
"62"	"df"	"7.5"	"244.999555555556"
"63"	"df"	"7.5"	"255.9526875"
"64"	"df"	"7.5"	"251.626258064516"
"65"	"df"	"7.5"	"248.097266666667"
"66"	"df"	"7.5"	"246.83275"
"67"	"ff"	"7.5"	"554.251086956522"
"68"	"ff"	"7.5"	"520.350055555556"
"69"	"ff"	"7.5"	"546.30615625"
"70"	"ff"	"7.5"	"538.917548387097"
"71"	"ff"	"7.5"	"522.635133333333"
"72"	"ff"	"7.5"	"530.619142857143"
"73"	"df"	"8"	"226.668205128205"
"74"	"df"	"8"	"239.97830952381"
"75"	"df"	"8"	"224.304393939394"
"76"	"df"	"8"	"246.912860465116"
"77"	"df"	"8"	"244.769162790698"
"78"	"df"	"8"	"222.218161290323"
"79"	"ff"	"8"	"410.733282051282"
"80"	"ff"	"8"	"443.341428571429"
"81"	"ff"	"8"	"419.406212121212"
"82"	"ff"	"8"	"447.879465116279"
"83"	"ff"	"8"	"453.82576744186"
"84"	"ff"	"8"	"417.736516129032"
