"time"	"unit"	"mean"	"sd"	"sem"
"1"	0	"D"	7.69950235969412	0.127491595799966	0.0637457978999831
"2"	10	"D"	7.64894656686152	0.127770216643881	0.0638851083219405
"3"	20	"D"	7.66658677605759	0.0911845459366757	0.0455922729683379
"4"	30	"D"	7.63147799256296	0.0792682994535492	0.0396341497267746
"5"	40	"D"	7.66398528871448	0.0523690565390606	0.0261845282695303
"6"	50	"D"	7.67130594602459	0.0519586558194802	0.0259793279097401
"7"	60	"D"	6.65641253754476	0.33062123849742	0.16531061924871
"8"	70	"D"	6.4274158458959	0.0905186294512474	0.0452593147256237
"9"	80	"D"	6.41715220431073	0.0803496357424706	0.0401748178712353
"10"	90	"D"	6.40089149951783	0.0339648805998145	0.0169824402999072
"11"	100	"D"	6.40165771217938	0.0405896629833246	0.0202948314916623
"12"	110	"D"	6.41030068356338	0.0386393358842369	0.0193196679421184
"13"	120	"D"	7.39656200865254	0.360412267175235	0.180206133587618
"14"	130	"D"	7.59369280026507	0.218737751484	0.109368875742
"15"	140	"D"	7.57722258088638	0.123191725037196	0.0615958625185979
"16"	150	"D"	7.6124140447624	0.0629023602500606	0.0314511801250303
"17"	160	"D"	7.64000023393869	0.0507742637441494	0.0253871318720747
"18"	170	"D"	7.6560391741936	0.0666055546168333	0.0333027773084166
"19"	180	"D"	7.62775927129424	0.0611985649535277	0.0305992824767639
"20"	190	"D"	7.64615648965568	0.0628362624924767	0.0314181312462384
"21"	200	"D"	7.59533075350323	0.0851849726833793	0.0425924863416897
"110"	0	"A"	7.44289203622842	0.0518219976633709	0.0259109988316854
"22"	10	"A"	7.39476000183884	0.148918454539252	0.0744592272696258
"310"	20	"A"	7.45118785856339	0.0748942166149194	0.0374471083074597
"410"	30	"A"	7.44932655469145	0.0302600260186866	0.0151300130093433
"52"	40	"A"	7.46903343838174	0.0364534995044505	0.0182267497522252
"61"	50	"A"	7.46268879725483	0.0535768408933255	0.0267884204466627
"71"	60	"A"	7.47829911520939	0.0737327639990591	0.0368663819995296
"81"	70	"A"	6.12026358308284	0.0331999970897855	0.0165999985448927
"91"	80	"A"	6.08502732582502	0.0393818892932473	0.0196909446466237
"101"	90	"A"	6.11098345583039	0.0546793127778624	0.0273396563889312
"111"	100	"A"	6.14835275593123	0.0380333290636502	0.0190166645318251
"121"	110	"A"	6.15533009416295	0.0363745037478243	0.0181872518739122
"131"	120	"A"	6.72542307212067	0.503414203329919	0.25170710166496
"141"	130	"A"	7.5175924361639	0.0622699756789904	0.0311349878394952
"151"	140	"A"	7.48577452456425	0.0214706049349925	0.0107353024674962
"161"	150	"A"	7.51755001206811	0.0404863793523041	0.0202431896761521
"171"	160	"A"	7.48958324839325	0.149539812294263	0.0747699061471315
"181"	170	"A"	7.54616192431553	0.0457980989478574	0.0228990494739287
"191"	180	"A"	7.54483049715756	0.0315489262556732	0.0157744631278366
"201"	190	"A"	7.52955635955784	0.0414810044241503	0.0207405022120751
"211"	200	"A"	7.52367457401051	0.0719451869706911	0.0359725934853456
"31"	0	"B"	7.54830181659583	0.130653909090734	0.0653269545453669
"32"	10	"B"	7.54719491342728	0.132223540453236	0.066111770226618
"33"	20	"B"	7.53716753832516	0.119670386905435	0.0598351934527174
"34"	30	"B"	7.49972688107764	0.182208800837644	0.091104400418822
"35"	40	"B"	7.48932843203317	0.164257179255148	0.0821285896275739
"36"	50	"B"	7.50851623601177	0.13927437637001	0.0696371881850052
"37"	60	"B"	7.17971576688993	0.321273762676186	0.160636881338093
"38"	70	"B"	5.73113420384104	0.184030334102193	0.0920151670510965
"39"	80	"B"	5.67689555891767	0.195057454793028	0.0975287273965139
"40"	90	"B"	5.69564683748569	0.177843019205501	0.0889215096027504
"41"	100	"B"	5.7157848311258	0.187856712303691	0.0939283561518455
"42"	110	"B"	5.72244314843838	0.186513443923165	0.0932567219615827
"43"	120	"B"	5.97282259903908	0.399258525844854	0.199629262922427
"44"	130	"B"	7.41303150944504	0.154691014438806	0.0773455072194029
"45"	140	"B"	7.42686203869601	0.124449888039633	0.0622249440198165
"46"	150	"B"	7.44139184086002	0.129268820414737	0.0646344102073683
"47"	160	"B"	7.47742999712573	0.127229454507977	0.0636147272539887
"48"	170	"B"	7.50713944573472	0.128589252789215	0.0642946263946073
"49"	180	"B"	7.52075069260606	0.107157688157312	0.0535788440786562
"50"	190	"B"	7.52437380888695	0.114855051950512	0.0574275259752558
"51"	200	"B"	7.52629330136791	0.108289987399162	0.0541449936995812
