"time"	"unit"	"mean"	"sd"	"sem"
"1"	0	"C"	7.39840734062843	0.0949483933951984	0.0474741966975992
"2"	10	"C"	7.41646920479015	0.122759125743755	0.0613795628718777
"3"	20	"C"	7.35024812390647	0.225804746137604	0.112902373068802
"4"	30	"C"	7.27398233301917	0.222972855987494	0.111486427993747
"5"	40	"C"	7.31078614829631	0.22073786146242	0.11036893073121
"6"	50	"C"	7.30469266934352	0.230073687286721	0.115036843643361
"7"	60	"C"	7.29504788165296	0.232101778125748	0.116050889062874
"8"	70	"C"	6.92724634531771	0.112168062851842	0.0560840314259209
"9"	80	"C"	6.91448428074786	0.118722550089232	0.059361275044616
"10"	90	"C"	6.9157728421796	0.132318684814296	0.0661593424071478
"11"	100	"C"	6.87997751593904	0.12364187570727	0.0618209378536348
"12"	110	"C"	6.90235550567063	0.147098439952322	0.0735492199761612
"13"	120	"C"	6.82726286722186	0.18261492031331	0.0913074601566552
"14"	130	"C"	7.13525174132127	0.235578247978052	0.117789123989026
"15"	140	"C"	7.20557884458496	0.2197740188278	0.1098870094139
"16"	150	"C"	7.23154139604521	0.226463721565078	0.113231860782539
"17"	160	"C"	7.21570288231755	0.198821590303431	0.0994107951517156
"18"	170	"C"	7.21913329891977	0.186934203574637	0.0934671017873187
"19"	180	"C"	7.23815745682767	0.217900648626577	0.108950324313289
"20"	190	"C"	7.22761447228504	0.218058309485254	0.109029154742627
"21"	200	"C"	7.21364767788747	0.201472940895367	0.100736470447684
