"time"	"unit"	"mean"	"sd"	"sem"
"1"	0	"A"	7.84497287362808	0.106735462663899	0.0533677313319496
"2"	10	"A"	7.84682915887247	0.10472915832301	0.0523645791615052
"3"	20	"A"	7.81575928991261	0.0907335927060121	0.045366796353006
"4"	30	"A"	7.7764292157848	0.0916503656375753	0.0458251828187876
"5"	40	"A"	7.79690125682672	0.0705591527383316	0.0352795763691658
"6"	50	"A"	7.77927532738488	0.068246314245078	0.034123157122539
"7"	60	"A"	7.87713247401074	0.18545227264684	0.0927261363234199
"8"	70	"A"	5.76168115128926	0.0693095420471738	0.0346547710235869
"9"	80	"A"	5.52011819078288	0.0820003586613188	0.0410001793306594
"10"	90	"A"	5.496473101886	0.0673399318211415	0.0336699659105708
"11"	100	"A"	5.48616733038533	0.0590389537558861	0.0295194768779431
"12"	110	"A"	5.484621936508	0.058458439425718	0.029229219712859
"13"	120	"A"	5.56194043807454	0.0881618395685526	0.0440809197842763
"14"	130	"A"	7.1977359200405	0.330178946425111	0.165089473212556
"15"	140	"A"	7.39826902917996	0.0454435500500227	0.0227217750250114
"16"	150	"A"	7.34391287757153	0.0617338562959817	0.0308669281479908
"17"	160	"A"	7.31302502287006	0.0591464190331502	0.0295732095165751
"18"	170	"A"	7.31730653073557	0.0723969176911425	0.0361984588455712
"19"	180	"A"	7.31735432652374	0.073993324887633	0.0369966624438165
"20"	190	"A"	7.31539204393902	0.0816789427204915	0.0408394713602458
"21"	200	"A"	7.32954652234463	0.0763760332236232	0.0381880166118116
