"time"	"unit"	"mean"	"sd"	"sem"
"1"	0	"C"	7.7642216206851	0.0543336541670979	0.027166827083549
"2"	10	"C"	7.72404110817107	0.0295129782303357	0.0147564891151679
"3"	20	"C"	7.68758482997101	0.031736165018304	0.015868082509152
"4"	30	"C"	7.6744197206854	0.0434818045294359	0.021740902264718
"5"	40	"C"	7.66788538293621	0.0638486755545662	0.0319243377772831
"6"	50	"C"	7.65234489860325	0.0397240579407879	0.019862028970394
"7"	60	"C"	6.86437544924853	0.333882431290139	0.16694121564507
"8"	70	"C"	6.72035666990966	0.0703376060767606	0.0351688030383803
"9"	80	"C"	6.69503854539372	0.0326421517736258	0.0163210758868129
"10"	90	"C"	6.70454937711283	0.0315259402600228	0.0157629701300114
"11"	100	"C"	6.69744683932332	0.0343090697418278	0.0171545348709139
"12"	110	"C"	6.7015170320231	0.025970803462229	0.0129854017311145
"13"	120	"C"	7.55589118290228	0.353983368291901	0.176991684145951
"14"	130	"C"	7.6793704910325	0.237130490574637	0.118565245287319
"15"	140	"C"	7.69771191791097	0.156403394513112	0.078201697256556
"16"	150	"C"	7.74079370137519	0.0933057309671273	0.0466528654835636
"17"	160	"C"	7.74158134615737	0.0711615912677256	0.0355807956338628
"18"	170	"C"	7.70028443890718	0.0428501833230022	0.0214250916615011
"19"	180	"C"	7.65332815588845	0.124151789581758	0.0620758947908788
"20"	190	"C"	7.69071322915265	0.157490659222721	0.0787453296113603
"21"	200	"C"	7.67680315413742	0.154917777629169	0.0774588888145847
